position	read_id	orientation	next_read_id	next_orientation	overlap_len	shift	identity	mapq
302	SRR27862880.4001_m2	+1	SRR27862880.206001_m1	-1	111	40	1.00000000	0
303	SRR27862880.206001_m1	-1	SRR27862880.112001_m1	+1	141	10	1.00000000	0
304	SRR27862880.112001_m1	+1	SRR27862880.105001_m2	+1	140	11	1.00000000	0
305	SRR27862880.105001_m2	+1	SRR27862880.3501_m2	+1	137	14	1.00000000	0
306	SRR27862880.3501_m2	+1	SRR27862880.72001_m2	+1	125	25	1.00000000	0
307	SRR27862880.72001_m2	+1	SRR27862880.172001_m1	+1	145	6	1.00000000	0
308	SRR27862880.172001_m1	+1	SRR27862880.115001_m1	+1	138	12	1.00000000	0
309	SRR27862880.115001_m1	+1	SRR27862880.84501_m1	+1	122	29	1.00000000	0
310	SRR27862880.84501_m1	+1	SRR27862880.204001_m1	-1	133	18	1.00000000	0
311	SRR27862880.204001_m1	-1	SRR27862880.98501_m1	+1	120	29	1.00000000	0
312	SRR27862880.98501_m1	+1	SRR27862880.4001_m1	-1	143	8	0.99300699	0
313	SRR27862880.4001_m1	-1	SRR27862880.3501_m1	-1	144	7	1.00000000	0
314	SRR27862880.3501_m1	-1	SRR27862880.5001_m1	-1	145	6	1.00000000	0
315	SRR27862880.5001_m1	-1	SRR27862880.32001_m1	+1	118	32	1.00000000	0
316	SRR27862880.32001_m1	+1	SRR27862880.194501_m2	+1	142	8	1.00000000	0
317	SRR27862880.194501_m2	+1	SRR27862880.215001_m1	+1	142	9	1.00000000	0
318	SRR27862880.215001_m1	+1	SRR27862880.76001_m1	+1	144	6	1.00000000	0
319	SRR27862880.76001_m1	+1	SRR27862880.51001_m1	+1	143	8	1.00000000	0
320	SRR27862880.51001_m1	+1	SRR27862880.236501_m2	-1	146	5	1.00000000	0
321	SRR27862880.236501_m2	-1	SRR27862880.249501_m1	-1	112	38	1.00000000	0
322	SRR27862880.249501_m1	-1	SRR27862880.72001_m1	-1	135	16	1.00000000	0
323	SRR27862880.72001_m1	-1	SRR27862880.146001_m1	-1	143	8	1.00000000	0
324	SRR27862880.146001_m1	-1	SRR27862880.131501_m1	-1	136	14	1.00000000	0
325	SRR27862880.131501_m1	-1	SRR27862880.190501_m2	+1	122	29	1.00000000	0
326	SRR27862880.190501_m2	+1	SRR27862880.68501_m2	+1	142	9	0.99295775	0
327	SRR27862880.68501_m2	+1	SRR27862880.147001_m2	+1	127	23	0.99212598	0
328	SRR27862880.147001_m2	+1	SRR27862880.23001_m1	+1	146	3	1.00000000	0
329	SRR27862880.23001_m1	+1	SRR27862880.45001_m2	+1	145	6	1.00000000	0
330	SRR27862880.45001_m2	+1	SRR27862880.72501_m1	-1	132	18	1.00000000	0
331	SRR27862880.72501_m1	-1	SRR27862880.27501_m2	+1	133	16	1.00000000	0
332	SRR27862880.27501_m2	+1	SRR27862880.31001_m1	-1	142	8	1.00000000	0
333	SRR27862880.31001_m1	-1	SRR27862880.47001_m2	-1	143	8	1.00000000	0
334	SRR27862880.47001_m2	-1	SRR27862880.48501_m2	+1	138	13	1.00000000	0
335	SRR27862880.48501_m2	+1	SRR27862880.50001_m2	+1	122	28	1.00000000	0
336	SRR27862880.50001_m2	+1	SRR27862880.194501_m1	-1	142	7	1.00000000	0
337	SRR27862880.194501_m1	-1	SRR27862880.34001_m1	+1	133	15	1.00000000	0
338	SRR27862880.34001_m1	+1	SRR27862880.174501_m1	-1	135	16	0.99259259	0
339	SRR27862880.174501_m1	-1	SRR27862880.227501_m1	+1	144	7	0.99305556	0
340	SRR27862880.227501_m1	+1	SRR27862880.124001_m2	-1	143	8	1.00000000	0
341	SRR27862880.124001_m2	-1	SRR27862880.76501_m1	+1	139	11	1.00000000	0
342	SRR27862880.76501_m1	+1	SRR27862880.175001_m1	+1	107	43	1.00000000	0
343	SRR27862880.175001_m1	+1	SRR27862880.147001_m1	-1	125	26	1.00000000	0
344	SRR27862880.147001_m1	-1	SRR27862880.206501_m2	-1	145	6	1.00000000	0
345	SRR27862880.206501_m2	-1	SRR27862880.217001_m2	+1	127	24	1.00000000	0
346	SRR27862880.217001_m2	+1	SRR27862880.48501_m1	-1	142	7	1.00000000	0
347	SRR27862880.48501_m1	-1	SRR27862880.235001_m1	-1	142	9	1.00000000	0
348	SRR27862880.235001_m1	-1	SRR27862880.212501_m2	+1	131	19	0.99236641	0
349	SRR27862880.212501_m2	+1	SRR27862880.152001_m1	+1	141	9	0.99290780	0
350	SRR27862880.152001_m1	+1	SRR27862880.34001_m2	-1	137	14	1.00000000	0
351	SRR27862880.34001_m2	-1	SRR27862880.109001_m2	-1	119	32	1.00000000	0
352	SRR27862880.109001_m2	-1	SRR27862880.89501_m2	-1	142	8	1.00000000	0
353	SRR27862880.89501_m2	-1	SRR27862880.215501_m1	+1	141	10	1.00000000	0
354	SRR27862880.215501_m1	+1	SRR27862880.227501_m2	-1	139	11	1.00000000	0
355	SRR27862880.227501_m2	-1	SRR27862880.115501_m1	+1	125	24	1.00000000	0
356	SRR27862880.115501_m1	+1	SRR27862880.82501_m1	+1	139	11	1.00000000	0
357	SRR27862880.82501_m1	+1	SRR27862880.115501_m2	-1	133	18	1.00000000	0
358	SRR27862880.115501_m2	-1	SRR27862880.246001_m2	-1	138	12	1.00000000	0
359	SRR27862880.246001_m2	-1	SRR27862880.217001_m1	-1	114	36	1.00000000	0
360	SRR27862880.217001_m1	-1	SRR27862880.226001_m1	+1	117	32	1.00000000	0
361	SRR27862880.226001_m1	+1	SRR27862880.200501_m2	-1	140	11	1.00000000	0
362	SRR27862880.200501_m2	-1	SRR27862880.153501_m1	+1	134	17	1.00000000	0
363	SRR27862880.153501_m1	+1	SRR27862880.112501_m1	+1	145	6	1.00000000	0
364	SRR27862880.112501_m1	+1	SRR27862880.8001_m1	+1	147	4	1.00000000	0
365	SRR27862880.8001_m1	+1	SRR27862880.193501_m1	+1	137	14	1.00000000	0
366	SRR27862880.193501_m1	+1	SRR27862880.162501_m1	+1	146	4	0.99315068	0
367	SRR27862880.162501_m1	+1	SRR27862880.215501_m2	-1	133	17	0.99248120	0
368	SRR27862880.215501_m2	-1	SRR27862880.83501_m1	+1	141	10	1.00000000	0
369	SRR27862880.83501_m1	+1	SRR27862880.82501_m2	-1	141	9	1.00000000	0
370	SRR27862880.82501_m2	-1	SRR27862880.241501_m1	+1	146	4	1.00000000	0
371	SRR27862880.241501_m1	+1	SRR27862880.37001_m2	-1	147	3	1.00000000	0
372	SRR27862880.37001_m2	-1	SRR27862880.2001_m2	+1	138	13	1.00000000	0
373	SRR27862880.2001_m2	+1	SRR27862880.161501_m2	+1	139	12	1.00000000	0
374	SRR27862880.161501_m2	+1	SRR27862880.104001_m1	+1	137	14	0.99270073	0
375	SRR27862880.104001_m1	+1	SRR27862880.53501_m2	+1	132	19	1.00000000	0
376	SRR27862880.53501_m2	+1	SRR27862880.146501_m1	-1	135	15	0.99259259	0
377	SRR27862880.146501_m1	-1	SRR27862880.199001_m2	+1	134	16	0.99253731	0
378	SRR27862880.199001_m2	+1	SRR27862880.208001_m1	+1	124	25	1.00000000	0
379	SRR27862880.208001_m1	+1	SRR27862880.153501_m2	-1	117	34	1.00000000	0
380	SRR27862880.153501_m2	-1	SRR27862880.163501_m2	+1	145	6	1.00000000	0
381	SRR27862880.163501_m2	+1	SRR27862880.20501_m1	-1	133	18	1.00000000	0
382	SRR27862880.20501_m1	-1	SRR27862880.112501_m2	-1	133	18	1.00000000	0
383	SRR27862880.112501_m2	-1	SRR27862880.2001_m1	-1	146	5	1.00000000	0
384	SRR27862880.2001_m1	-1	SRR27862880.12501_m1	+1	144	7	1.00000000	0
385	SRR27862880.12501_m1	+1	SRR27862880.96501_m2	+1	147	4	1.00000000	0
386	SRR27862880.96501_m2	+1	SRR27862880.80501_m2	+1	146	5	1.00000000	0
387	SRR27862880.80501_m2	+1	SRR27862880.53501_m1	-1	138	12	1.00000000	0
388	SRR27862880.53501_m1	-1	SRR27862880.247501_m1	-1	143	8	1.00000000	0
389	SRR27862880.247501_m1	-1	SRR27862880.157501_m2	-1	129	21	1.00000000	0
390	SRR27862880.157501_m2	-1	SRR27862880.104001_m2	-1	143	7	1.00000000	0
391	SRR27862880.104001_m2	-1	SRR27862880.229501_m2	-1	146	4	1.00000000	0
392	SRR27862880.229501_m2	-1	SRR27862880.106501_m1	-1	140	11	1.00000000	0
393	SRR27862880.106501_m1	-1	SRR27862880.166501_m1	+1	122	27	1.00000000	0
394	SRR27862880.166501_m1	+1	SRR27862880.139001_m1	+1	145	6	1.00000000	0
395	SRR27862880.139001_m1	+1	SRR27862880.99501_m2	+1	141	10	1.00000000	0
396	SRR27862880.99501_m2	+1	SRR27862880.71501_m2	+1	135	16	1.00000000	0
397	SRR27862880.71501_m2	+1	SRR27862880.192501_m1	+1	134	17	1.00000000	0
398	SRR27862880.192501_m1	+1	SRR27862880.248501_m2	+1	140	11	1.00000000	0
399	SRR27862880.248501_m2	+1	SRR27862880.163501_m1	-1	145	6	1.00000000	0
400	SRR27862880.163501_m1	-1	SRR27862880.240001_m1	-1	131	19	1.00000000	0
401	SRR27862880.240001_m1	-1	SRR27862880.80501_m1	-1	128	23	1.00000000	0
402	SRR27862880.80501_m1	-1	SRR27862880.91501_m1	-1	146	3	1.00000000	0
403	SRR27862880.91501_m1	-1	SRR27862880.4501_m2	-1	138	12	0.99275362	0
404	SRR27862880.4501_m2	-1	SRR27862880.64001_m2	-1	140	10	1.00000000	0
405	SRR27862880.64001_m2	-1	SRR27862880.100001_m2	-1	137	14	1.00000000	0
406	SRR27862880.100001_m2	-1	SRR27862880.220001_m2	-1	131	20	1.00000000	0
407	SRR27862880.220001_m2	-1	SRR27862880.148001_m2	+1	136	14	1.00000000	0
408	SRR27862880.148001_m2	+1	SRR27862880.11501_m2	+1	141	10	1.00000000	0
409	SRR27862880.11501_m2	+1	SRR27862880.192501_m2	-1	140	9	1.00000000	0
410	SRR27862880.192501_m2	-1	SRR27862880.108501_m1	-1	137	13	1.00000000	0
411	SRR27862880.108501_m1	-1	SRR27862880.101501_m1	-1	143	7	1.00000000	0
412	SRR27862880.101501_m1	-1	SRR27862880.139001_m2	-1	134	17	1.00000000	0
413	SRR27862880.139001_m2	-1	SRR27862880.165501_m1	+1	140	9	1.00000000	0
414	SRR27862880.165501_m1	+1	SRR27862880.99501_m1	-1	142	9	1.00000000	0
415	SRR27862880.99501_m1	-1	SRR27862880.125501_m2	+1	123	24	1.00000000	0
416	SRR27862880.125501_m2	+1	SRR27862880.82001_m2	+1	139	11	0.99280576	0
417	SRR27862880.82001_m2	+1	SRR27862880.51501_m1	+1	141	10	1.00000000	0
418	SRR27862880.51501_m1	+1	SRR27862880.179501_m2	+1	143	8	1.00000000	0
419	SRR27862880.179501_m2	+1	SRR27862880.67501_m1	+1	139	12	1.00000000	0
420	SRR27862880.67501_m1	+1	SRR27862880.214501_m2	+1	140	11	1.00000000	0
421	SRR27862880.214501_m2	+1	SRR27862880.33001_m1	-1	113	37	1.00000000	0
422	SRR27862880.33001_m1	-1	SRR27862880.148001_m1	-1	135	16	1.00000000	0
423	SRR27862880.148001_m1	-1	SRR27862880.54001_m1	-1	120	31	1.00000000	0
424	SRR27862880.54001_m1	-1	SRR27862880.222001_m2	+1	143	8	1.00000000	0
425	SRR27862880.222001_m2	+1	SRR27862880.11501_m1	-1	137	14	1.00000000	0
426	SRR27862880.11501_m1	-1	SRR27862880.208501_m1	-1	139	12	1.00000000	0
427	SRR27862880.208501_m1	-1	SRR27862880.205501_m1	+1	144	7	1.00000000	0
428	SRR27862880.205501_m1	+1	SRR27862880.29501_m2	-1	146	5	1.00000000	0
429	SRR27862880.29501_m2	-1	SRR27862880.170501_m1	-1	131	20	1.00000000	0
430	SRR27862880.170501_m1	-1	SRR27862880.167501_m1	-1	144	7	1.00000000	0
431	SRR27862880.167501_m1	-1	SRR27862880.51501_m2	-1	123	27	1.00000000	0
432	SRR27862880.51501_m2	-1	SRR27862880.179501_m1	-1	143	7	1.00000000	0
433	SRR27862880.179501_m1	-1	SRR27862880.60001_m2	-1	136	15	1.00000000	0
434	SRR27862880.60001_m2	-1	SRR27862880.243001_m2	+1	139	12	1.00000000	0
435	SRR27862880.243001_m2	+1	SRR27862880.67501_m2	-1	141	9	1.00000000	0
436	SRR27862880.67501_m2	-1	SRR27862880.224001_m1	+1	148	3	1.00000000	0
437	SRR27862880.224001_m1	+1	SRR27862880.13001_m1	+1	140	11	1.00000000	0
438	SRR27862880.13001_m1	+1	SRR27862880.90501_m1	+1	141	10	1.00000000	0
439	SRR27862880.90501_m1	+1	SRR27862880.163001_m2	+1	133	17	1.00000000	0
440	SRR27862880.163001_m2	+1	SRR27862880.7501_m2	-1	135	14	1.00000000	0
441	SRR27862880.7501_m2	-1	SRR27862880.148501_m2	+1	134	16	1.00000000	0
442	SRR27862880.148501_m2	+1	SRR27862880.160501_m2	-1	122	29	1.00000000	0
443	SRR27862880.160501_m2	-1	SRR27862880.211501_m2	+1	134	16	1.00000000	0
444	SRR27862880.211501_m2	+1	SRR27862880.168501_m1	-1	148	3	1.00000000	0
445	SRR27862880.168501_m1	-1	SRR27862880.205501_m2	-1	142	9	1.00000000	0
446	SRR27862880.205501_m2	-1	SRR27862880.180501_m2	-1	139	12	1.00000000	0
447	SRR27862880.180501_m2	-1	SRR27862880.501_m1	-1	145	5	1.00000000	0
448	SRR27862880.501_m1	-1	SRR27862880.117501_m1	+1	146	3	1.00000000	0
449	SRR27862880.117501_m1	+1	SRR27862880.22001_m2	+1	145	5	0.99310345	0
450	SRR27862880.22001_m2	+1	SRR27862880.102501_m2	-1	146	5	1.00000000	0
451	SRR27862880.102501_m2	-1	SRR27862880.174001_m1	+1	125	25	1.00000000	0
452	SRR27862880.174001_m1	+1	SRR27862880.242501_m1	+1	128	22	0.99218750	0
453	SRR27862880.242501_m1	+1	SRR27862880.65001_m2	-1	147	4	0.99319728	0
454	SRR27862880.65001_m2	-1	SRR27862880.144501_m1	+1	137	13	1.00000000	0
455	SRR27862880.144501_m1	+1	SRR27862880.156501_m2	-1	145	6	1.00000000	0
456	SRR27862880.156501_m2	-1	SRR27862880.101001_m1	+1	130	21	1.00000000	0
457	SRR27862880.101001_m1	+1	SRR27862880.75001_m1	+1	141	10	1.00000000	0
458	SRR27862880.75001_m1	+1	SRR27862880.26501_m2	+1	143	7	1.00000000	0
459	SRR27862880.26501_m2	+1	SRR27862880.204501_m1	+1	119	31	1.00000000	0
460	SRR27862880.204501_m1	+1	SRR27862880.186501_m1	-1	139	12	1.00000000	0
461	SRR27862880.186501_m1	-1	SRR27862880.91001_m1	-1	133	18	1.00000000	0
462	SRR27862880.91001_m1	-1	SRR27862880.210501_m1	-1	147	3	1.00000000	0
463	SRR27862880.210501_m1	-1	SRR27862880.75501_m2	+1	147	4	1.00000000	0
464	SRR27862880.75501_m2	+1	SRR27862880.189501_m1	+1	140	11	1.00000000	0
465	SRR27862880.189501_m1	+1	SRR27862880.111501_m1	+1	141	10	1.00000000	0
466	SRR27862880.111501_m1	+1	SRR27862880.183501_m1	-1	143	8	1.00000000	0
467	SRR27862880.183501_m1	-1	SRR27862880.223501_m1	-1	140	11	1.00000000	0
468	SRR27862880.223501_m1	-1	SRR27862880.22001_m1	-1	143	8	1.00000000	0
469	SRR27862880.22001_m1	-1	SRR27862880.88501_m1	+1	142	7	1.00000000	0
470	SRR27862880.88501_m1	+1	SRR27862880.192001_m1	+1	133	18	1.00000000	0
471	SRR27862880.192001_m1	+1	SRR27862880.60501_m2	+1	144	7	1.00000000	0
472	SRR27862880.60501_m2	+1	SRR27862880.174001_m2	-1	141	9	1.00000000	0
473	SRR27862880.174001_m2	-1	SRR27862880.185501_m1	+1	138	13	1.00000000	0
474	SRR27862880.185501_m1	+1	SRR27862880.144501_m2	-1	143	7	1.00000000	0
475	SRR27862880.144501_m2	-1	SRR27862880.101001_m2	-1	144	7	1.00000000	0
476	SRR27862880.101001_m2	-1	SRR27862880.211001_m2	+1	120	29	1.00000000	0
477	SRR27862880.211001_m2	+1	SRR27862880.75001_m2	-1	129	21	1.00000000	0
478	SRR27862880.75001_m2	-1	SRR27862880.32501_m1	+1	141	10	1.00000000	0
479	SRR27862880.32501_m1	+1	SRR27862880.141001_m1	+1	134	17	1.00000000	0
480	SRR27862880.141001_m1	+1	SRR27862880.182001_m2	+1	146	5	1.00000000	0
481	SRR27862880.182001_m2	+1	SRR27862880.143501_m2	+1	146	4	1.00000000	0
482	SRR27862880.143501_m2	+1	SRR27862880.138501_m2	+1	133	18	1.00000000	0
483	SRR27862880.138501_m2	+1	SRR27862880.179001_m1	+1	144	3	0.99305556	0
484	SRR27862880.179001_m1	+1	SRR27862880.177501_m2	+1	134	17	0.99253731	0
485	SRR27862880.177501_m2	+1	SRR27862880.111501_m2	-1	143	7	0.99300699	0
486	SRR27862880.111501_m2	-1	SRR27862880.158001_m1	-1	117	32	1.00000000	0
487	SRR27862880.158001_m1	-1	SRR27862880.78501_m1	-1	144	7	1.00000000	0
488	SRR27862880.78501_m1	-1	SRR27862880.69501_m1	+1	144	6	1.00000000	0
489	SRR27862880.69501_m1	+1	SRR27862880.57001_m2	-1	144	7	1.00000000	0
490	SRR27862880.57001_m2	-1	SRR27862880.109501_m1	+1	146	5	1.00000000	0
491	SRR27862880.109501_m1	+1	SRR27862880.134501_m2	+1	145	6	1.00000000	0
492	SRR27862880.134501_m2	+1	SRR27862880.145501_m1	+1	141	7	1.00000000	0
493	SRR27862880.145501_m1	+1	SRR27862880.164501_m2	+1	128	22	1.00000000	0
494	SRR27862880.164501_m2	+1	SRR27862880.40501_m1	+1	139	11	1.00000000	0
495	SRR27862880.40501_m1	+1	SRR27862880.150001_m2	+1	143	7	1.00000000	0
496	SRR27862880.150001_m2	+1	SRR27862880.150501_m1	-1	113	37	1.00000000	0
497	SRR27862880.150501_m1	-1	SRR27862880.182001_m1	-1	134	17	1.00000000	0
498	SRR27862880.182001_m1	-1	SRR27862880.219501_m2	-1	145	6	0.99310345	0
499	SRR27862880.219501_m2	-1	SRR27862880.173501_m1	-1	113	37	1.00000000	0
500	SRR27862880.173501_m1	-1	SRR27862880.35001_m1	+1	141	9	1.00000000	0
501	SRR27862880.35001_m1	+1	SRR27862880.81501_m2	+1	128	23	1.00000000	0
502	SRR27862880.81501_m2	+1	SRR27862880.145501_m2	-1	124	25	1.00000000	0
503	SRR27862880.145501_m2	-1	SRR27862880.109501_m2	-1	140	8	1.00000000	0
504	SRR27862880.109501_m2	-1	SRR27862880.20001_m1	+1	142	9	1.00000000	0
505	SRR27862880.20001_m1	+1	SRR27862880.134501_m1	-1	138	13	1.00000000	0
506	SRR27862880.134501_m1	-1	SRR27862880.164501_m1	-1	142	9	1.00000000	0
507	SRR27862880.164501_m1	-1	SRR27862880.181001_m1	+1	147	4	1.00000000	0
508	SRR27862880.181001_m1	+1	SRR27862880.153001_m1	+1	139	12	1.00000000	0
509	SRR27862880.153001_m1	+1	SRR27862880.171001_m1	-1	138	13	1.00000000	0
510	SRR27862880.171001_m1	-1	SRR27862880.77501_m1	+1	138	13	1.00000000	0
511	SRR27862880.77501_m1	+1	SRR27862880.67001_m2	-1	115	34	0.99130435	0
512	SRR27862880.67001_m2	-1	SRR27862880.3001_m1	+1	136	14	0.99264706	0
513	SRR27862880.3001_m1	+1	SRR27862880.221501_m1	+1	140	11	1.00000000	0
514	SRR27862880.221501_m1	+1	SRR27862880.104501_m1	+1	142	9	1.00000000	0
515	SRR27862880.104501_m1	+1	SRR27862880.130001_m1	+1	137	14	1.00000000	0
516	SRR27862880.130001_m1	+1	SRR27862880.85001_m2	+1	146	4	1.00000000	0
517	SRR27862880.85001_m2	+1	SRR27862880.138001_m2	+1	129	22	1.00000000	0
518	SRR27862880.138001_m2	+1	SRR27862880.19501_m1	+1	139	11	1.00000000	0
519	SRR27862880.19501_m1	+1	SRR27862880.55501_m2	+1	135	16	1.00000000	0
520	SRR27862880.55501_m2	+1	SRR27862880.1_m2	+1	137	13	1.00000000	0
521	SRR27862880.1_m2	+1	SRR27862880.52001_m1	+1	145	6	1.00000000	0
522	SRR27862880.52001_m1	+1	SRR27862880.41501_m2	+1	142	9	1.00000000	0
523	SRR27862880.41501_m2	+1	SRR27862880.74501_m2	+1	150	1	1.00000000	0
524	SRR27862880.74501_m2	+1	SRR27862880.107001_m2	-1	143	8	1.00000000	0
525	SRR27862880.107001_m2	-1	SRR27862880.20001_m2	-1	146	4	1.00000000	0
526	SRR27862880.20001_m2	-1	SRR27862880.62501_m1	+1	142	9	1.00000000	0
527	SRR27862880.62501_m1	+1	SRR27862880.122001_m2	-1	140	11	1.00000000	0
528	SRR27862880.122001_m2	-1	SRR27862880.225501_m1	+1	134	17	1.00000000	0
529	SRR27862880.225501_m1	+1	SRR27862880.9501_m1	+1	127	21	1.00000000	0
530	SRR27862880.9501_m1	+1	SRR27862880.77501_m2	-1	146	4	1.00000000	0
531	SRR27862880.77501_m2	-1	SRR27862880.228501_m1	+1	134	17	1.00000000	0
532	SRR27862880.228501_m1	+1	SRR27862880.194001_m2	-1	149	1	1.00000000	0
533	SRR27862880.194001_m2	-1	SRR27862880.61001_m2	+1	119	32	1.00000000	0
534	SRR27862880.61001_m2	+1	SRR27862880.119001_m2	+1	148	3	1.00000000	0
535	SRR27862880.119001_m2	+1	SRR27862880.11001_m2	+1	147	4	1.00000000	0
536	SRR27862880.11001_m2	+1	SRR27862880.85001_m1	-1	138	11	1.00000000	0
537	SRR27862880.85001_m1	-1	SRR27862880.138001_m1	-1	143	7	1.00000000	0
538	SRR27862880.138001_m1	-1	SRR27862880.169001_m2	+1	134	16	1.00000000	0
539	SRR27862880.169001_m2	+1	SRR27862880.52001_m2	-1	124	25	1.00000000	0
540	SRR27862880.52001_m2	-1	SRR27862880.1_m1	-1	140	11	1.00000000	0
541	SRR27862880.1_m1	-1	SRR27862880.212001_m2	+1	126	25	1.00000000	0
542	SRR27862880.212001_m2	+1	SRR27862880.65501_m1	+1	149	1	1.00000000	0
543	SRR27862880.65501_m1	+1	SRR27862880.98001_m2	+1	133	18	1.00000000	0
544	SRR27862880.98001_m2	+1	SRR27862880.217501_m1	+1	145	6	1.00000000	0
545	SRR27862880.217501_m1	+1	SRR27862880.45501_m2	+1	143	8	1.00000000	0
546	SRR27862880.45501_m2	+1	SRR27862880.5501_m2	-1	139	12	1.00000000	0
547	SRR27862880.5501_m2	-1	SRR27862880.34501_m1	+1	142	9	1.00000000	0
548	SRR27862880.34501_m1	+1	SRR27862880.46001_m2	+1	140	11	1.00000000	0
549	SRR27862880.46001_m2	+1	SRR27862880.9501_m2	-1	132	19	1.00000000	0
550	SRR27862880.9501_m2	-1	SRR27862880.201501_m1	+1	141	9	1.00000000	0
551	SRR27862880.201501_m1	+1	SRR27862880.15501_m2	+1	144	6	1.00000000	0
552	SRR27862880.15501_m2	+1	SRR27862880.42501_m2	+1	129	20	1.00000000	0
553	SRR27862880.42501_m2	+1	SRR27862880.239001_m2	+1	136	15	1.00000000	0
554	SRR27862880.239001_m2	+1	SRR27862880.189001_m1	+1	130	21	1.00000000	0
555	SRR27862880.189001_m1	+1	SRR27862880.78001_m1	+1	141	10	1.00000000	0
556	SRR27862880.78001_m1	+1	SRR27862880.108001_m2	+1	144	7	1.00000000	0
557	SRR27862880.108001_m2	+1	SRR27862880.56001_m2	+1	132	17	0.99242424	0
558	SRR27862880.56001_m2	+1	SRR27862880.87001_m1	-1	145	6	0.99310345	0
559	SRR27862880.87001_m1	-1	SRR27862880.202501_m1	+1	134	16	0.99253731	0
560	SRR27862880.202501_m1	+1	SRR27862880.113001_m1	+1	147	4	0.99319728	0
561	SRR27862880.113001_m1	+1	SRR27862880.198001_m1	+1	146	5	1.00000000	0
562	SRR27862880.198001_m1	+1	SRR27862880.134001_m1	+1	147	4	1.00000000	0
563	SRR27862880.134001_m1	+1	SRR27862880.49501_m1	+1	134	17	1.00000000	0
564	SRR27862880.49501_m1	+1	SRR27862880.14001_m1	+1	145	6	1.00000000	0
565	SRR27862880.14001_m1	+1	SRR27862880.24001_m1	+1	148	3	1.00000000	0
566	SRR27862880.24001_m1	+1	SRR27862880.46001_m1	-1	145	5	1.00000000	0
567	SRR27862880.46001_m1	-1	SRR27862880.73501_m1	+1	150	1	0.99333333	0
568	SRR27862880.73501_m1	+1	SRR27862880.214001_m1	+1	144	7	0.99305556	0
569	SRR27862880.214001_m1	+1	SRR27862880.98001_m1	-1	105	46	1.00000000	0
570	SRR27862880.98001_m1	-1	SRR27862880.201501_m2	-1	148	2	1.00000000	0
571	SRR27862880.201501_m2	-1	SRR27862880.38501_m1	-1	129	22	1.00000000	0
572	SRR27862880.38501_m1	-1	SRR27862880.42501_m1	-1	141	9	1.00000000	0
573	SRR27862880.42501_m1	-1	SRR27862880.127001_m1	+1	80	69	1.00000000	0
574	SRR27862880.127001_m1	+1	SRR27862880.49501_m2	-1	145	6	1.00000000	0
575	SRR27862880.49501_m2	-1	SRR27862880.202501_m2	-1	148	2	1.00000000	0
576	SRR27862880.202501_m2	-1	SRR27862880.53001_m1	+1	143	7	1.00000000	0
577	SRR27862880.53001_m1	+1	SRR27862880.14001_m2	-1	140	8	1.00000000	0
578	SRR27862880.14001_m2	-1	SRR27862880.77001_m2	+1	137	3	1.00000000	0
579	SRR27862880.77001_m2	+1	SRR27862880.134001_m2	-1	135	14	1.00000000	0
580	SRR27862880.134001_m2	-1	SRR27862880.113001_m2	-1	143	8	1.00000000	0
581	SRR27862880.113001_m2	-1	SRR27862880.10001_m1	+1	136	14	1.00000000	0
582	SRR27862880.10001_m1	+1	SRR27862880.73501_m2	-1	140	11	1.00000000	0
583	SRR27862880.73501_m2	-1	SRR27862880.234001_m1	+1	133	17	1.00000000	0
584	SRR27862880.234001_m1	+1	SRR27862880.39001_m2	-1	142	9	1.00000000	0
585	SRR27862880.39001_m2	-1	SRR27862880.126501_m2	-1	136	15	1.00000000	0
586	SRR27862880.126501_m2	-1	SRR27862880.218001_m1	-1	138	12	1.00000000	0
587	SRR27862880.218001_m1	-1	SRR27862880.203501_m2	+1	141	10	1.00000000	0
588	SRR27862880.203501_m2	+1	SRR27862880.114501_m2	-1	142	9	1.00000000	0
589	SRR27862880.114501_m2	-1	SRR27862880.7001_m2	+1	140	10	1.00000000	0
590	SRR27862880.7001_m2	+1	SRR27862880.243501_m2	+1	117	34	1.00000000	0
591	SRR27862880.243501_m2	+1	SRR27862880.39501_m2	+1	146	4	1.00000000	0
592	SRR27862880.39501_m2	+1	SRR27862880.58501_m2	+1	135	16	1.00000000	0
593	SRR27862880.58501_m2	+1	SRR27862880.70501_m1	-1	140	11	1.00000000	0
594	SRR27862880.70501_m1	-1	SRR27862880.160001_m1	+1	129	22	1.00000000	0
595	SRR27862880.160001_m1	+1	SRR27862880.53001_m2	-1	144	7	1.00000000	0
596	SRR27862880.53001_m2	-1	SRR27862880.147501_m1	+1	143	8	1.00000000	0
597	SRR27862880.147501_m1	+1	SRR27862880.16501_m2	+1	139	12	1.00000000	0
598	SRR27862880.16501_m2	+1	SRR27862880.244501_m2	-1	145	6	1.00000000	0
599	SRR27862880.244501_m2	-1	SRR27862880.123001_m2	-1	147	4	1.00000000	0
600	SRR27862880.123001_m2	-1	SRR27862880.94501_m1	+1	117	34	1.00000000	0
601	SRR27862880.94501_m1	+1	SRR27862880.92001_m2	+1	141	10	1.00000000	0
602	SRR27862880.92001_m2	+1	SRR27862880.79001_m1	+1	147	4	1.00000000	0
603	SRR27862880.79001_m1	+1	SRR27862880.14501_m2	+1	138	13	1.00000000	0
604	SRR27862880.14501_m2	+1	SRR27862880.36501_m1	+1	143	7	1.00000000	0
